"numprec","region","metro","relate","age","sex","race","marst","bpl","sch","educ99","empstat","classwkr","wkswork1","uhrswork","incwage","ftype","annhrs","hrwage","adj_ind","adj_occ2name"
10,"Mountain Division","Not in metro area","Spouse",36,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,60,89000,"Primary family",3120,28.5256404876709,"Computer systems design and related services","Computer and Math Technicians"
4,"Pacific Division","In metro area, outside central / principal city","Spouse",31,"Male","White nonhisp","Married, spouse present","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,40,60000,"Primary family",2080,28.8461532592773,"Computer systems design and related services","Computer and Math Technicians"
2,"East South Central Div.","Not in metro area","Unmarried Partner",46,"Male","White nonhisp","Divorced","United States","Grade 12","High school","At work","Wage/salary, private sector",52,50,57000,"Secondary individual",2600,21.9230766296387,"Resin, synthetic rubber and fibers, and filaments manufacturing","Office and Admin Support"
2,"West South Central Div.","In metro area, outside central / principal city","Head/Householder",49,"Male","White nonhisp","Married, spouse present","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,35,65000,"Primary family",1820,35.7142868041992,"Construction","Business Operators"
3,"Pacific Division","In metro area, outside central / principal city","Spouse",40,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,65000,"Primary family",2080,31.25,"Construction","Managers"
4,"Middle Atlantic Division","Not in metro area","Head/Householder",32,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,60,102000,"Primary family",3120,32.6923065185547,"Groceries and related products, merchant wholesalers","Transportation and materials moving"
1,"East South Central Div.","Not in metro area","Head/Householder",53,"Male","Hispanic","Never married/single","United States","Grade 10","10th grade","At work","Wage/salary, private sector",52,55,49000,"Nonfamily householder",2860,17.1328678131104,"Restaurants and other food services","Production"
2,"East North Central Div.","In metro area, central / principal city","Roomers/boarders/lodgers",29,"Male","Other nonhisp","Never married/single","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,55000,"Secondary individual",2080,26.4423084259033,"Air transportation","Consruction, Extraction, Installation"
4,"Mountain Division","Not in metro area","Spouse",38,"Male","White nonhisp","Married, spouse present","United States","Associate's degree","Associate's degree 2","At work","Local govt employee",52,52,58000,"Primary family",2704,21.4497032165527,"Not avaliable","Protective Service adj_occupations"
4,"South Atlantic Division","In metro area, outside central / principal city","Unmarried Partner",33,"Male","Hispanic","Never married/single","Dominican Republic","Some collage","Some collage","At work","Wage/salary, private sector",52,40,60000,"Secondary individual",2080,28.8461532592773,"Construction","Consruction, Extraction, Installation"
4,"West North Central Div.","In metro area, outside central / principal city","Spouse",53,"Male","White nonhisp","Married, spouse present","United States","Advanced degree","Master's degree","At work","Wage/salary, private sector",52,20,37000,"Primary family",1040,35.5769233703613,"Air transportation","Protective Service adj_occupations"
4,"East North Central Div.","Central / Principal city status unknown","Spouse",51,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,70,120000,"Primary family",3640,32.9670333862305,"Miscellaneous fabricated metal products manufacturing","Managers"
1,"East North Central Div.","Not in metro area","Head/Householder",33,"Male","White nonhisp","Separated","United States","Associate's degree","Associate's degree 1","At work","Wage/salary, private sector",52,40,38000,"Nonfamily householder",2080,18.269229888916,"Motor vehicles and motor vehicle equipment manufacturing","Production"
3,"West South Central Div.","In metro area, central / principal city","Head/Householder",59,"Male","Hispanic","Married, spouse present","Mexico","No school","No school","At work","Wage/salary, private sector",52,40,18720,"Primary family",2080,9,"Real estate","Transportation and materials moving"
2,"South Atlantic Division","In metro area, central / principal city","Head/Householder",54,"Male","Hispanic","Married, spouse present","Puerto Rico","Grade 12","High school","At work","Wage/salary, private sector",52,40,44200,"Primary family",2080,21.25,"Machine shops; turned product; screw, nut, and bolt manufacturing","Production"
5,"Mountain Division","In metro area, central / principal city","Head/Householder",37,"Male","Other nonhisp","Married, spouse present","Philippines","Some collage","Some collage","At work","Federal govt employee",52,40,79000,"Primary family",2080,37.980770111084,"Postal Service","Office and Admin Support"
1,"Middle Atlantic Division","In metro area, outside central / principal city","Head/Householder",54,"Male","White nonhisp","Divorced","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,40,110000,"Nonfamily householder",2080,52.8846168518066,"Architectural, engineering, and related services","Consruction, Extraction, Installation"
3,"West South Central Div.","Not in metro area","Head/Householder",50,"Male","White nonhisp","Divorced","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",26,40,10000,"Primary family",1040,9.61538505554199,"Landscaping services","Consruction, Extraction, Installation"
9,"Pacific Division","In metro area, outside central / principal city","Head/Householder",58,"Male","White nonhisp","Married, spouse present","United States","Advanced degree","Master's degree","At work","Wage/salary, private sector",20,40,44000,"Primary family",800,55,"Architectural, engineering, and related services","Managers"
1,"East North Central Div.","In metro area, outside central / principal city","Head/Householder",50,"Male","White nonhisp","Never married/single","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,35,40000,"Nonfamily householder",1820,21.9780216217041,"Accounting, tax preparation, bookkeeping and payroll services","financial Operators"
6,"West South Central Div.","Not in metro area","Spouse",41,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,19500,"Primary family",2080,9.375,"Restaurants and other food services","Managers"
4,"West South Central Div.","Central / Principal city status unknown","Head/Householder",49,"Male","Hispanic","Separated","Mexico","Grade 10","10th grade","At work","Wage/salary, private sector",52,70,69000,"Primary family",3640,18.9560432434082,"Truck transportation","Transportation and materials moving"
2,"New England Division","Not in metro area","Head/Householder",33,"Male","Other nonhisp","Married, spouse present","India","Advanced degree","Master's degree","At work","Wage/salary, private sector",52,40,75000,"Primary family",2080,36.0576934814453,"Computer systems design and related services","Computer and Math Technicians"
3,"New England Division","In metro area, outside central / principal city","Head/Householder",40,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,75000,"Primary family",2080,36.0576934814453,"Construction","Consruction, Extraction, Installation"
3,"West South Central Div.","In metro area, outside central / principal city","Housemate/Roomate",40,"Male","Hispanic","Never married/single","Mexico","Grade 12","High school","At work","Wage/salary, private sector",52,40,20000,"Secondary individual",2080,9.61538505554199,"Traveler accommodation","Consruction, Extraction, Installation"
1,"East North Central Div.","In metro area, central / principal city","Head/Householder",40,"Male","Hispanic","Never married/single","Puerto Rico","Grade 10","10th grade","At work","Wage/salary, private sector",52,50,16000,"Nonfamily householder",2600,6.1538462638855,"Machine shops; turned product; screw, nut, and bolt manufacturing","Production"
2,"Mountain Division","In metro area, central / principal city","Head/Householder",36,"Male","Hispanic","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,40000,"Primary family",2080,19.230770111084,"Other amusement, gambling, and recreation industries","Transportation and materials moving"
4,"New England Division","In metro area, central / principal city","Spouse",37,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,50,2e+05,"Primary family",2600,76.9230804443359,"Electronic component and product manufacturing, n.e.c.","Managers"
5,"West South Central Div.","In metro area, central / principal city","Head/Householder",45,"Male","White nonhisp","Married, spouse absent","United States","Advanced degree","Master's degree","At work","Wage/salary, private sector",52,80,107000,"Primary family",4160,25.7211532592773,"Computer systems design and related services","Computer and Math Technicians"
3,"New England Division","Not in metro area","Head/Householder",55,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,55,113000,"Primary family",2860,39.5104904174805,"Dairy product manufacturing","Consruction, Extraction, Installation"
3,"Middle Atlantic Division","In metro area, outside central / principal city","Head/Householder",49,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Local govt employee",52,40,120000,"Primary family",2080,57.6923065185547,"Not avaliable","Protective Service adj_occupations"
3,"South Atlantic Division","Not in metro area","Head/Householder",49,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,75,20000,"Primary family",3900,5.12820529937744,"Coal mining","Transportation and materials moving"
2,"Pacific Division","In metro area, outside central / principal city","Housemate/Roomate",57,"Male","Hispanic","Never married/single","Puerto Rico","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,45,31000,"Secondary individual",2340,13.2478628158569,"Jewelry, luggage, and leather goods stores","Consruction, Extraction, Installation"
4,"East North Central Div.","In metro area, outside central / principal city","Head/Householder",33,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,60,110000,"Primary family",3120,35.2564086914062,"Truck transportation","Consruction, Extraction, Installation"
2,"East North Central Div.","In metro area, central / principal city","Head/Householder",41,"Male","Other nonhisp","Married, spouse present","Guatemala","Grade 7","5th-8th grades","At work","Wage/salary, private sector",51,40,18360,"Primary family",2040,9,"Services to buildings and dwellings","Consruction, Extraction, Installation"
6,"Pacific Division","In metro area, central / principal city","Spouse",34,"Male","Hispanic","Married, spouse present","Mexico","Grade 9","9th grade","At work","Wage/salary, private sector",46,40,30000,"Primary family",1840,16.3043479919434,"Motor vehicles and motor vehicle equipment manufacturing","Production"
2,"Pacific Division","In metro area, central / principal city","Spouse",59,"Male","Other nonhisp","Married, spouse present","China","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,75000,"Primary family",2080,36.0576934814453,"Electronic component and product manufacturing, n.e.c.","Office and Admin Support"
3,"West North Central Div.","Central / Principal city status unknown","Head/Householder",35,"Male","White nonhisp","Married, spouse present","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,40,43000,"Primary family",2080,20.6730766296387,"Periodical, book, and directory publishers","Production"
4,"Mountain Division","In metro area, outside central / principal city","Head/Householder",46,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,45,160000,"Primary family",2340,68.3760681152344,"Aerospace product and parts manufacturing","Managers"
5,"Pacific Division","In metro area, outside central / principal city","Spouse",58,"Male","Hispanic","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,30000,"Primary family",2080,14.4230766296387,"Construction","Consruction, Extraction, Installation"
3,"New England Division","Not in metro area","Head/Householder",35,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,55000,"Primary family",2080,26.4423084259033,"Wired telecommunications carriers","Computer and Math Technicians"
5,"East South Central Div.","In metro area, outside central / principal city","Spouse",38,"Male","Hispanic","Married, spouse present","Mexico","Grade 5","5th-8th grades","At work","Wage/salary, private sector",52,40,25000,"Primary family",2080,12.0192308425903,"Construction","Consruction, Extraction, Installation"
2,"Pacific Division","In metro area, outside central / principal city","Spouse",42,"Male","Hispanic","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,50000,"Primary family",2080,24.0384616851807,"Grocery stores","Office and Admin Support"
4,"Pacific Division","In metro area, central / principal city","Head/Householder",26,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",47,40,45000,"Primary family",1880,23.9361705780029,"Motion pictures and video industries","Consruction, Extraction, Installation"
4,"New England Division","In metro area, outside central / principal city","Head/Householder",25,"Male","White nonhisp","Never married/single","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,40000,"Primary family",2080,19.230770111084,"Couriers and messengers","Consruction, Extraction, Installation"
5,"East North Central Div.","In metro area, outside central / principal city","Head/Householder",39,"Male","Hispanic","Divorced","Mexico","Grade 9","9th grade","At work","Wage/salary, private sector",52,40,25000,"Primary family",2080,12.0192308425903,"Truck transportation","Transportation and materials moving"
8,"Pacific Division","Not in metro area","Parent",62,"Male","White nonhisp","Never married/single","United States","Grade 12","High school","At work","Wage/salary, private sector",26,99,60000,"Primary family",2574,23.3100242614746,"Fishing, hunting and trapping","Farming, Fishing & Forestry"
5,"East North Central Div.","In metro area, outside central / principal city","Head/Householder",34,"Male","White nonhisp","Married, spouse present","United States","Advanced degree","Master's degree","At work","Wage/salary, private sector",52,50,52000,"Primary family",2600,20,"Elementary and secondary schools","Managers"
5,"New England Division","Central / Principal city status unknown","Head/Householder",46,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,70,60000,"Primary family",3640,16.4835166931152,"Hospitals","Managers"
2,"Middle Atlantic Division","In metro area, central / principal city","Head/Householder",31,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,1e+05,"Primary family",2080,48.0769233703613,"Radio, TV, and computer stores","Managers"
1,"East North Central Div.","In metro area, central / principal city","Head/Householder",34,"Male","White nonhisp","Married, spouse absent","Bahrain","Some collage","Some collage","At work","Wage/salary, private sector",52,50,45000,"Nonfamily householder",2600,17.3076915740967,"Bus service and urban transit","Transportation and materials moving"
4,"West North Central Div.","In metro area, central / principal city","Spouse",53,"Male","White nonhisp","Married, spouse present","United States","Associate's degree","Associate's degree 1","At work","Local govt employee",52,38,48000,"Primary family",1976,24.2914981842041,"Legal services","Lawyers, Judges,Physicans and dentists"
4,"West South Central Div.","In metro area, central / principal city","Head/Householder",33,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,55,60000,"Primary family",2860,20.9790210723877,"Alcoholic beverages, merchant wholesalers","Transportation and materials moving"
2,"South Atlantic Division","Not in metro area","Head/Householder",56,"Male","White nonhisp","Divorced","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,63000,"Nonfamily householder",2080,30.2884616851807,"Electric power generation, transmission and distribution","Consruction, Extraction, Installation"
5,"West North Central Div.","In metro area, outside central / principal city","Spouse",43,"Male","Other nonhisp","Married, spouse present","Cambodia","Grade 12","High school","At work","Wage/salary, private sector",52,40,26400,"Primary family",2080,12.692307472229,"Restaurants and other food services","Managers"
1,"Middle Atlantic Division","In metro area, central / principal city","Head/Householder",31,"Male","Black nonhisp","Never married/single","United States","Some collage","Some collage","At work","Local govt employee",52,38,29000,"Nonfamily householder",1976,14.6761131286621,"Libraries and archives","Office and Admin Support"
3,"West North Central Div.","Central / Principal city status unknown","Head/Householder",57,"Male","White nonhisp","Married, spouse present","Egypt","Advanced degree","Doctoral degree","At work","State govt employee",48,60,145000,"Primary family",2880,50.3472213745117,"Colleges and universities, including junior colleges","Managers"
4,"Mountain Division","In metro area, outside central / principal city","Spouse",53,"Male","White nonhisp","Married, spouse present","United States","Advanced degree","Professional degree","At work","Wage/salary, private sector",52,40,1e+05,"Primary family",2080,48.0769233703613,"Other health care services","Lawyers, Judges,Physicans and dentists"
3,"West North Central Div.","In metro area, central / principal city","Spouse",54,"Male","Hispanic","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,60,80000,"Primary family",3120,25.6410255432129,"Employment services","Business Operators"
12,"Middle Atlantic Division","In metro area, outside central / principal city","Head/Householder",34,"Male","Hispanic","Married, spouse present","Ecuador","Grade 7","5th-8th grades","At work","Wage/salary, private sector",52,40,25000,"Primary family",2080,12.0192308425903,"Construction","Consruction, Extraction, Installation"
4,"West South Central Div.","In metro area, outside central / principal city","Spouse",37,"Male","Hispanic","Married, spouse present","Mexico","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,48000,"Primary family",2080,23.0769233703613,"Elementary and secondary schools","Computer and Math Technicians"
4,"Pacific Division","In metro area, outside central / principal city","Head/Householder",54,"Male","Other nonhisp","Never married/single","United States","Bachelor's degree","Bachelor's degree","At work","State govt employee",52,35,81000,"Primary family",1820,44.5054931640625,"Elementary and secondary schools","Managers"
3,"Mountain Division","In metro area, outside central / principal city","Head/Householder",44,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","Has job, not at work now","Wage/salary, private sector",52,48,45000,"Primary family",2496,18.0288467407227,"Rail transportation","Consruction, Extraction, Installation"
4,"New England Division","In metro area, outside central / principal city","Head/Householder",47,"Male","Hispanic","Married, spouse present","United States","Grade 11","11th grade","At work","Wage/salary, private sector",52,40,36000,"Primary family",2080,17.3076915740967,"Specialty food stores","Production"
4,"South Atlantic Division","In metro area, outside central / principal city","Spouse",36,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,72000,"Primary family",2080,34.6153831481934,"Wired telecommunications carriers","Managers"
4,"South Atlantic Division","Central / Principal city status unknown","Spouse",52,"Male","White nonhisp","Married, spouse present","United States","Associate's degree","Associate's degree 2","At work","Wage/salary, private sector",52,40,60000,"Primary family",2080,28.8461532592773,"Wired telecommunications carriers","Consruction, Extraction, Installation"
2,"West North Central Div.","In metro area, outside central / principal city","Spouse",46,"Male","Hispanic","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,24000,"Primary family",2080,11.5384616851807,"Printing and related support activities","Production"
2,"Pacific Division","In metro area, central / principal city","Head/Householder",33,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Local govt employee",52,40,34000,"Primary family",2080,16.3461532592773,"Elementary and secondary schools","Consruction, Extraction, Installation"
4,"West South Central Div.","Central / Principal city status unknown","Head/Householder",50,"Male","Hispanic","Married, spouse present","United States","Some collage","Some collage","At work","Local govt employee",52,40,30000,"Primary family",2080,14.4230766296387,"Elementary and secondary schools","Consruction, Extraction, Installation"
4,"East North Central Div.","In metro area, outside central / principal city","Spouse",51,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,39000,"Primary family",2080,18.75,"Elementary and secondary schools","Consruction, Extraction, Installation"
2,"South Atlantic Division","In metro area, central / principal city","Head/Householder",57,"Male","White nonhisp","Never married/single","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,38,42000,"Nonfamily householder",1976,21.2550601959229,"Used merchandise stores","Managers"
4,"Middle Atlantic Division","In metro area, central / principal city","Head/Householder",62,"Male","Hispanic","Married, spouse present","Puerto Rico","Advanced degree","Master's degree","Has job, not at work now","Wage/salary, private sector",52,20,19500,"Primary family",1040,18.75,"Hospitals","Community and Social Workers"
4,"West North Central Div.","In metro area, outside central / principal city","Head/Householder",35,"Male","White nonhisp","Married, spouse present","United States","Associate's degree","Associate's degree 1","At work","Wage/salary, private sector",47,40,42000,"Primary family",1880,22.340425491333,"Lumber and other construction materials, merchant wholesalers","Office and Admin Support"
6,"South Atlantic Division","Central / Principal city status unknown","Spouse",56,"Male","Black nonhisp","Married, spouse present","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,40,36000,"Primary family",2080,17.3076915740967,"Services incidental to transportation","Transportation and materials moving"
4,"Mountain Division","In metro area, outside central / principal city","Spouse",32,"Male","White nonhisp","Married, spouse present","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,52,70000,"Primary family",2704,25.8875732421875,"Grocery stores","Consruction, Extraction, Installation"
4,"Mountain Division","Not in metro area","Head/Householder",42,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,48,90000,"Primary family",2496,36.0576934814453,"Coal mining","Transportation and materials moving"
3,"South Atlantic Division","In metro area, outside central / principal city","Spouse",38,"Male","Black nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,20,9000,"Primary family",1040,8.65384578704834,"Warehousing and storage","Transportation and materials moving"
4,"West North Central Div.","In metro area, outside central / principal city","Head/Householder",44,"Male","White nonhisp","Married, spouse present","United States","Advanced degree","Master's degree","At work","Wage/salary, private sector",52,40,60000,"Primary family",2080,28.8461532592773,"Management, scientific and technical consulting services","Business Operators"
5,"Pacific Division","Central / Principal city status unknown","Head/Householder",30,"Male","Hispanic","Married, spouse present","Mexico","Some collage","Some collage","At work","Local govt employee",52,40,35980,"Primary family",2080,17.2980766296387,"Not avaliable","Protective Service adj_occupations"
4,"Middle Atlantic Division","Not in metro area","Head/Householder",26,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,38000,"Primary family",2080,18.269229888916,"Commercial and industrial machinery and equipment repair and maintenance","Production"
7,"Mountain Division","In metro area, central / principal city","Spouse",39,"Male","Hispanic","Married, spouse present","Mexico","Grade 5","5th-8th grades","At work","Wage/salary, private sector",52,40,15000,"Primary family",2080,7.21153831481934,"Construction","Consruction, Extraction, Installation"
2,"East North Central Div.","In metro area, outside central / principal city","Spouse",60,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,50,180000,"Primary family",2600,69.2307662963867,"Miscellaneous retail stores","Managers"
2,"Pacific Division","In metro area, outside central / principal city","Spouse",31,"Male","Hispanic","Married, spouse present","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,40,34800,"Primary family",2080,16.730770111084,"Apparel, fabrics, and notions, merchant wholesalers","Production"
5,"East North Central Div.","In metro area, central / principal city","Head/Householder",57,"Male","Hispanic","Married, spouse present","Mexico","Grade 5","5th-8th grades","Has job, not at work now","Wage/salary, private sector",52,40,40000,"Primary family",2080,19.230770111084,"Landscaping services","Production"
4,"West North Central Div.","In metro area, outside central / principal city","Spouse",34,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,120000,"Primary family",2080,57.6923065185547,"Architectural, engineering, and related services","Computer and Math Technicians"
1,"Pacific Division","In metro area, central / principal city","Head/Householder",37,"Male","Hispanic","Never married/single","El Salvador","Grade 12","High school","At work","Wage/salary, private sector",35,30,10500,"Nonfamily householder",1050,10,"Construction","Consruction, Extraction, Installation"
7,"West South Central Div.","In metro area, central / principal city","Other Relatives",45,"Male","Hispanic","Married, spouse present","Mexico","Grade 10","10th grade","At work","Wage/salary, private sector",52,40,20000,"Related subfamily",2080,9.61538505554199,"Construction","Consruction, Extraction, Installation"
6,"Mountain Division","In metro area, central / principal city","Head/Householder",47,"Male","White nonhisp","Married, spouse present","United States","Advanced degree","Master's degree","At work","Local govt employee",50,40,1e+05,"Primary family",2000,50,"Non-depository credit and related activities","Managers"
4,"West South Central Div.","Not in metro area","Head/Householder",48,"Male","White nonhisp","Married, spouse present","United States","Associate's degree","Associate's degree 1","At work","Wage/salary, private sector",52,40,70000,"Primary family",2080,33.6538467407227,"Gasoline stations","Consruction, Extraction, Installation"
1,"East North Central Div.","In metro area, central / principal city","Head/Householder",59,"Male","Black nonhisp","Never married/single","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,40,10000,"Nonfamily householder",2080,4.807692527771,"Offices of physicians","Office and Admin Support"
2,"South Atlantic Division","Central / Principal city status unknown","Head/Householder",38,"Male","Black nonhisp","Married, spouse absent","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,40,31200,"Primary family",2080,15,"Rail transportation","Managers"
3,"Pacific Division","Central / Principal city status unknown","Head/Householder",34,"Male","Hispanic","Married, spouse present","Mexico","Grade 12","12th grade","At work","Wage/salary, private sector",52,40,24000,"Primary family",2080,11.5384616851807,"Traveler accommodation","Consruction, Extraction, Installation"
5,"South Atlantic Division","Not in metro area","Other Relatives",27,"Male","Hispanic","Never married/single","Guatemala","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",42,40,15000,"Primary family",1680,8.9285717010498,"Automotive repair and maintenance","Consruction, Extraction, Installation"
1,"New England Division","In metro area, outside central / principal city","Head/Householder",58,"Male","White nonhisp","Divorced","United States","Advanced degree","Professional degree","At work","Local govt employee",52,45,89000,"Nonfamily householder",2340,38.0341873168945,"Real estate","Lawyers, Judges,Physicans and dentists"
3,"West South Central Div.","Central / Principal city status unknown","Head/Householder",48,"Male","Hispanic","Divorced","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,36000,"Primary family",2080,17.3076915740967,"Groceries and related products, merchant wholesalers","Production"
2,"New England Division","Central / Principal city status unknown","Unmarried Partner",26,"Male","Hispanic","Never married/single","United States","Bachelor's degree","Bachelor's degree","At work","Federal govt employee",46,38,29000,"Secondary individual",1748,16.590389251709,"Other schools and instruction, and educational support services","Computer and Math Technicians"
2,"West North Central Div.","Central / Principal city status unknown","Head/Householder",51,"Male","White nonhisp","Divorced","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,60,79000,"Primary family",3120,25.3205127716064,"Truck transportation","Transportation and materials moving"
5,"West South Central Div.","In metro area, outside central / principal city","Spouse",43,"Male","Black nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,35000,"Primary family",2080,16.8269233703613,"Grocery stores","Production"
4,"New England Division","Not in metro area","Grandchild",41,"Male","White nonhisp","Never married/single","United States","Some collage","Some collage","At work","Wage/salary, private sector",39,45,32000,"Primary family",1755,18.2336177825928,"Construction","Consruction, Extraction, Installation"
4,"Pacific Division","In metro area, central / principal city","Housemate/Roomate",32,"Male","Other nonhisp","Married, spouse present","China","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,60000,"Unrelated subfamily",2080,28.8461532592773,"Computer and peripheral equipment manufacturing","Computer and Math Technicians"
4,"East North Central Div.","In metro area, outside central / principal city","Spouse",45,"Male","White nonhisp","Married, spouse present","United States","Advanced degree","Master's degree","At work","Wage/salary, private sector",52,40,72000,"Primary family",2080,34.6153831481934,"Elementary and secondary schools","Managers"
1,"New England Division","In metro area, outside central / principal city","Head/Householder",29,"Male","White nonhisp","Never married/single","United States","Bachelor's degree","Bachelor's degree","At work","State govt employee",52,35,54000,"Nonfamily householder",1820,29.6703300476074,"Colleges and universities, including junior colleges","Computer and Math Technicians"
4,"West South Central Div.","In metro area, central / principal city","Head/Householder",39,"Male","Hispanic","Married, spouse present","Mexico","Grade 12","12th grade","At work","Wage/salary, private sector",52,40,20000,"Primary family",2080,9.61538505554199,"Restaurants and other food services","Consruction, Extraction, Installation"
3,"Middle Atlantic Division","In metro area, central / principal city","Sibling",51,"Male","Hispanic","Married, spouse absent","Dominican Republic","Some collage","Some collage","At work","Wage/salary, private sector",52,40,19000,"Primary family",2080,9.13461494445801,"Restaurants and other food services","Consruction, Extraction, Installation"
2,"Middle Atlantic Division","In metro area, outside central / principal city","Spouse",62,"Male","White nonhisp","Married, spouse present","United States","Associate's degree","Associate's degree 1","At work","Wage/salary, private sector",52,40,50000,"Primary family",2080,24.0384616851807,"Communications, and audio and video equipment manufacturing","Production"
4,"West South Central Div.","In metro area, central / principal city","Other Relatives",51,"Male","Hispanic","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,80,60000,"Related subfamily",4160,14.4230766296387,"Restaurants and other food services","Consruction, Extraction, Installation"
1,"West South Central Div.","In metro area, central / principal city","Head/Householder",34,"Male","Black nonhisp","Never married/single","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,25000,"Nonfamily householder",2080,12.0192308425903,"Services to buildings and dwellings","Transportation and materials moving"
4,"Middle Atlantic Division","In metro area, outside central / principal city","Head/Householder",43,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,56,79000,"Primary family",2912,27.1291217803955,"Furniture and related product manufacturing","Production"
2,"East South Central Div.","Central / Principal city status unknown","Sibling",50,"Male","White nonhisp","Divorced","United States","Grade 7","5th-8th grades","Has job, not at work now","Wage/salary, private sector",35,40,20000,"Primary family",1400,14.2857141494751,"Construction","Consruction, Extraction, Installation"
3,"Mountain Division","In metro area, outside central / principal city","Spouse",28,"Male","White nonhisp","Married, spouse present","United States","Some collage","Some collage","At work","Local govt employee",52,40,30000,"Primary family",2080,14.4230766296387,"Not avaliable","Protective Service adj_occupations"
5,"Pacific Division","In metro area, outside central / principal city","Spouse",31,"Male","White nonhisp","Married, spouse present","United States","Advanced degree","Master's degree","At work","Wage/salary, private sector",52,40,105000,"Primary family",2080,50.480770111084,"Accounting, tax preparation, bookkeeping and payroll services","Managers"
